TIMECODE,DATA1,DATA2
0.0,0.33,20.0
0.01,0.48,20.0
0.02,0.719998,20.0
0.03,0.439994,20.0
0.04,0.199987,20.0
0.05,0.329974,20.0
0.06,0.819955,20.0
0.07,0.909929,20.0
0.08,0.959893,20.0
0.09,0.639848,20.0
0.1,0.609792,20.0
0.11,1.05972,20.0
0.12,1.02964,20.0
0.13,0.699542,20.0
0.14,0.779428,20.0
0.15,1.6793,20.0
0.16,1.09915,20.0
0.17,1.50898,20.0
0.18,1.58879,20.0
0.19,1.26857,20.0
0.2,1.16833,20.0
0.21,1.51807,20.0
0.22,1.81778,20.0
0.23,1.82747,20.0
0.24,1.99712,20.0
0.25,1.47675,20.0
0.26,1.78634,20.0
0.27,2.2659,20.0
0.28,2.03543,20.0
0.29,2.13492,20.0
0.3,2.00438,20.0
0.31,1.8138,20.0
0.32,2.49318,20.0
0.33,1.88252,20.0
0.34,2.04182,20.0
0.35,1.94108,20.0
0.36,2.2303,20.0
0.37,1.93947,20.0
0.38,2.50859,20.0
0.39,2.77766,20.0
0.4,2.61669,20.0
0.41,2.04567,20.0
0.42,2.1846,20.0
0.43,2.49347,20.0
0.44,2.9423,20.0
0.45,2.54106,20.0
0.46,2.56977,20.0
0.47,3.29843,20.0
0.48,3.12703,20.0
0.49,3.33556,20.0
0.5,3.37404,20.0
0.51,2.96245,20.0
0.52,2.9108,20.0
0.53,2.86909,20.0
0.54,2.95731,20.0
0.55,3.01547,20.0
0.56,3.03356,20.0
0.57,3.07157,20.0
0.58,3.28952,20.0
0.59,3.2474,20.0
0.6,2.9952,20.0
0.61,3.60293,20.0
0.62,3.54059,20.0
0.63,3.29816,20.0
0.64,3.70566,20.0
0.65,3.51309,20.0
0.66,3.96043,20.0
0.67,3.41769,20.0
0.68,4.23487,20.0
0.69,3.47197,20.0
0.7,3.61898,20.0
0.71,3.5259,20.0
0.72,4.47274,20.0
0.73,4.05949,20.0
0.74,3.88615,20.0
0.75,3.85272,20.0
0.76,4.6792,20.0
0.77,3.99559,20.0
0.78,4.76188,20.0
0.79,4.33808,20.0
0.8,4.45418,20.0
0.81,4.78019,20.0
0.82,4.91609,20.0
0.83,4.4819,20.0
0.839999,4.1476,20.0
0.849999,4.18321,20.0
0.859999,4.25871,20.0
0.869999,4.7541,20.0
0.879999,4.77939,20.0
0.889999,4.95458,20.0
0.899999,5.17965,20.0
0.909999,4.77462,20.0
0.919999,4.44948,20.0
0.929999,5.38423,20.0
0.939999,4.82886,20.0
0.949999,4.94338,20.0
0.959999,5.56779,20.0
0.969999,5.22208,20.0
0.979999,5.33626,20.0
0.989999,4.86031,20.0
0.999999,5.06425,20.0
1.01,5.25807,20.0
1.02,4.94177,20.0
1.03,5.60535,20.0
1.04,5.0888,20.0
1.05,5.02213,20.0
1.06,5.15533,20.0
1.07,5.89841,20.0
1.08,5.72136,20.0
1.09,5.89418,20.0
1.1,5.53687,20.0
1.11,5.40943,20.0
1.12,5.78186,20.0
1.13,5.99415,20.0
1.14,6.36632,20.0
1.15,5.68834,20.0
1.16,5.86024,20.0
1.17,5.83199,20.0
1.18,5.74361,20.0
1.19,6.47508,20.0
1.2,6.15642,20.0
1.21,6.55762,20.0
1.22,5.85867,20.0
1.23,6.55958,20.0
1.24,6.76035,20.0
1.25,6.35097,20.0
1.26,6.39144,20.0
1.27,6.06177,20.0
1.28,6.59195,20.0
1.29,6.35198,20.0
1.3,6.78186,20.0
1.31,6.56159,20.0
1.32,6.34117,20.0
1.33,6.47059,20.0
1.34,6.60986,20.0
1.35,6.81897,20.0
1.36,7.06793,20.0
1.37,6.58673,20.0
1.38,6.39537,20.0
